name,paper_count,co_authors,sample_papers,github_url,linkedin_url,scholar_url,personal_site,match_confidence,notes,s2_author_id,affiliation,h_index,citation_count,homepage,linkedin_search_url,source
NVIDIA,3,":; Ajay Mandlekar; Alice Luo; Anqi Li; Ao Zhang; Arsalan Mousavian; Arslan Ali; Artur Zolkowski; Avnish Narayan; Bartosz Stefaniak; Boris Ivanovic; Boyi Li; Chen-Hsuan Lin; Daniel Dworakowski; David Page; Despoina Paschalidou; Dieter Fox; Dongran Liu; Ed Schmerling; Edith Llontop; Eric Yang; Erik Barker; Ethan He; Fangyin Wei; Fengyuan Hu; Fernando Castañeda; Fitsum Reda; Francesco Ferroni; Gergely Klár; Grace Lam; Greg Heinrich; Guanzhi Wang; Guilin Liu; Hanzi Mao; Hao Wang; Hao Zhang; Haoxiang Wang; Heng Wang; Huan Ling; Jack Huang; Jacob Huffman; Jan Kautz; Jason Lu; Jay Zhangjie Wu; Jenna Diamond; Jiahui Huang; Jiannan Xiang; Jiaojiao Fan; Jiashu Xu; Jibin Varghese; Jing Wang; Jing Zhang; Jingyi Jin; Jinwei Gu; Joel Jang; Johan Bjorck; Junjie Bai; Kaichun Mo; Kaushil Kundalia; Ke Chen; Kevin Lin; Langechuan Liu; Laura Leal-Taixe; Lawrence Lao; Liang Feng; Lin Yen-Chen; Lindsey Pavao; Linxi ""Jim"" Fan; Loic Magne; Lyne Tchapmi; Maciej Bala; Marco Pavone; Michele Fenzi; Mike Ranzinger; Ming-Yu Liu; Morteza Ramezanali; Niket Agarwal; Nikita Cherniadev; Pavlo Molchanov; Peter Karkus; Pinyi Li; Pooya Jannaty; Prithvijit Chattopadhyay; Przemek Tredak; Qi Wang; Qianli Ma; Qingqing Zhao; Qinsheng Zhang; Ran Tian; Ruijie Zheng; Runyu Ding; Sanja Fidler; Sarah Tariq; Scott Reed; Seonghyeon Ye; Seung Wook Kim; Seungjun Nah; Shida Shen; Shitao Tang; Shiyi Lan; Siddharth Gururani; Songwei Ge; Soroush Nasiriany; Spencer Huang; Sriharsha Niverty; Stella Shi; Tianjun Xiao; Tiffany Cai; Tilman Wekel; Ting-Chun Wang; Tong Che; Tsung-Yi Lin; Vasanth Rao Naik Sabavat; Wei Yang; Wei-Cheng Tseng; Wenhao Ding; Wenjie Luo; Wenyuan Zhang; Xian Liu; Xiaodong Yang; Xiaohui Zeng; Xiaowei Ren; Xingye Da; Xinshuo Weng; Xinyue Wei; Yan Wang; Yifan Ding; Yin Cui; Yinzhen Xu; Yizhou Zhao; Yogesh Balaji; Yongxin Chen; You Liang Tan; Yu Fang; Yu Zeng; Yuke Zhu; Yulong Cao; Yunfei Shi; Yunhao Ge; Yunxiang Mao; Yuqi Xie; Yurong You; Yuxiao Chen; Yuxuan Zhang; Zeeshan Patel; Zhaoshuo Li; Zhenghao Peng; Zhenjia Xu; Zhenyu Jiang; Zhiding Yu; Zhijian Liu; Zhiqi Li; Zongyu Lin; Zu Wang",2511.00088v2: Alpamayo-R1: Bridging Reasoning and Action Prediction for Generalizable Autonomous Driving in the Long Tail | 2503.14734v2: GR00T N1: An Open Foundation Model for Generalist Humanoid Robots | 2501.03575v3: Cosmos World Foundation Model Platform for Physical AI,https://github.com/HeKun-NVIDIA,,,,,,2276243439.0,,10.0,1807.0,,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22NVIDIA%22,NVIDIA; VLA
:,3,"Ajay Mandlekar; Alice Luo; Anqi Li; Ao Zhang; Arsalan Mousavian; Arslan Ali; Artur Zolkowski; Avnish Narayan; Bartosz Stefaniak; Boris Ivanovic; Boyi Li; Chen-Hsuan Lin; Daniel Dworakowski; David Page; Despoina Paschalidou; Dieter Fox; Dongran Liu; Ed Schmerling; Edith Llontop; Eric Yang; Erik Barker; Ethan He; Fangyin Wei; Fengyuan Hu; Fernando Castañeda; Fitsum Reda; Francesco Ferroni; Gergely Klár; Grace Lam; Greg Heinrich; Guanzhi Wang; Guilin Liu; Hanzi Mao; Hao Wang; Hao Zhang; Haoxiang Wang; Heng Wang; Huan Ling; Jack Huang; Jacob Huffman; Jan Kautz; Jason Lu; Jay Zhangjie Wu; Jenna Diamond; Jiahui Huang; Jiannan Xiang; Jiaojiao Fan; Jiashu Xu; Jibin Varghese; Jing Wang; Jing Zhang; Jingyi Jin; Jinwei Gu; Joel Jang; Johan Bjorck; Junjie Bai; Kaichun Mo; Kaushil Kundalia; Ke Chen; Kevin Lin; Langechuan Liu; Laura Leal-Taixe; Lawrence Lao; Liang Feng; Lin Yen-Chen; Lindsey Pavao; Linxi ""Jim"" Fan; Loic Magne; Lyne Tchapmi; Maciej Bala; Marco Pavone; Michele Fenzi; Mike Ranzinger; Ming-Yu Liu; Morteza Ramezanali; NVIDIA; Niket Agarwal; Nikita Cherniadev; Pavlo Molchanov; Peter Karkus; Pinyi Li; Pooya Jannaty; Prithvijit Chattopadhyay; Przemek Tredak; Qi Wang; Qianli Ma; Qingqing Zhao; Qinsheng Zhang; Ran Tian; Ruijie Zheng; Runyu Ding; Sanja Fidler; Sarah Tariq; Scott Reed; Seonghyeon Ye; Seung Wook Kim; Seungjun Nah; Shida Shen; Shitao Tang; Shiyi Lan; Siddharth Gururani; Songwei Ge; Soroush Nasiriany; Spencer Huang; Sriharsha Niverty; Stella Shi; Tianjun Xiao; Tiffany Cai; Tilman Wekel; Ting-Chun Wang; Tong Che; Tsung-Yi Lin; Vasanth Rao Naik Sabavat; Wei Yang; Wei-Cheng Tseng; Wenhao Ding; Wenjie Luo; Wenyuan Zhang; Xian Liu; Xiaodong Yang; Xiaohui Zeng; Xiaowei Ren; Xingye Da; Xinshuo Weng; Xinyue Wei; Yan Wang; Yifan Ding; Yin Cui; Yinzhen Xu; Yizhou Zhao; Yogesh Balaji; Yongxin Chen; You Liang Tan; Yu Fang; Yu Zeng; Yuke Zhu; Yulong Cao; Yunfei Shi; Yunhao Ge; Yunxiang Mao; Yuqi Xie; Yurong You; Yuxiao Chen; Yuxuan Zhang; Zeeshan Patel; Zhaoshuo Li; Zhenghao Peng; Zhenjia Xu; Zhenyu Jiang; Zhiding Yu; Zhijian Liu; Zhiqi Li; Zongyu Lin; Zu Wang",2511.00088v2: Alpamayo-R1: Bridging Reasoning and Action Prediction for Generalizable Autonomous Driving in the Long Tail | 2503.14734v2: GR00T N1: An Open Foundation Model for Generalist Humanoid Robots | 2501.03575v3: Cosmos World Foundation Model Platform for Physical AI,,,,,,,,,,,,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%3A%22,NVIDIA; VLA
Yifan Ding,2,:; Alice Luo; Anqi Li; Arsalan Mousavian; Arslan Ali; Artur Zolkowski; Bartosz Stefaniak; Boris Ivanovic; Boyi Li; Chen-Hsuan Lin; Daniel Dworakowski; David Page; Despoina Paschalidou; Dieter Fox; Dongran Liu; Ed Schmerling; Eric Yang; Erik Barker; Ethan He; Fangyin Wei; Fitsum Reda; Francesco Ferroni; Gergely Klár; Grace Lam; Greg Heinrich; Hanzi Mao; Hao Wang; Haoxiang Wang; Heng Wang; Huan Ling; Jack Huang; Jacob Huffman; Jason Lu; Jay Zhangjie Wu; Jenna Diamond; Jiahui Huang; Jiaojiao Fan; Jiashu Xu; Jibin Varghese; Jing Zhang; Jingyi Jin; Jinwei Gu; Junjie Bai; Kaichun Mo; Ke Chen; Langechuan Liu; Laura Leal-Taixe; Liang Feng; Lin Yen-Chen; Lindsey Pavao; Lyne Tchapmi; Maciej Bala; Marco Pavone; Michele Fenzi; Mike Ranzinger; Ming-Yu Liu; Morteza Ramezanali; NVIDIA; Niket Agarwal; Pavlo Molchanov; Peter Karkus; Pinyi Li; Pooya Jannaty; Prithvijit Chattopadhyay; Przemek Tredak; Qianli Ma; Qingqing Zhao; Qinsheng Zhang; Ran Tian; Sanja Fidler; Sarah Tariq; Seung Wook Kim; Seungjun Nah; Shida Shen; Shitao Tang; Shiyi Lan; Siddharth Gururani; Songwei Ge; Sriharsha Niverty; Stella Shi; Tianjun Xiao; Tiffany Cai; Tilman Wekel; Ting-Chun Wang; Tong Che; Tsung-Yi Lin; Vasanth Rao Naik Sabavat; Wei Yang; Wei-Cheng Tseng; Wenhao Ding; Wenjie Luo; Wenyuan Zhang; Xian Liu; Xiaodong Yang; Xiaohui Zeng; Xiaowei Ren; Xinshuo Weng; Xinyue Wei; Yan Wang; Yin Cui; Yogesh Balaji; Yongxin Chen; Yu Zeng; Yulong Cao; Yunfei Shi; Yunhao Ge; Yunxiang Mao; Yurong You; Yuxiao Chen; Yuxuan Zhang; Zeeshan Patel; Zhaoshuo Li; Zhenghao Peng; Zhijian Liu,2511.00088v2: Alpamayo-R1: Bridging Reasoning and Action Prediction for Generalizable Autonomous Driving in the Long Tail | 2501.03575v3: Cosmos World Foundation Model Platform for Physical AI,https://github.com/dingyf,,,,,,2436100113.0,,,,,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Yifan%20Ding%22,NVIDIA
Tsung-Yi Lin,2,:; Alice Luo; Anqi Li; Arsalan Mousavian; Arslan Ali; Artur Zolkowski; Bartosz Stefaniak; Boris Ivanovic; Boyi Li; Chen-Hsuan Lin; Daniel Dworakowski; David Page; Despoina Paschalidou; Dieter Fox; Dongran Liu; Ed Schmerling; Eric Yang; Erik Barker; Ethan He; Fangyin Wei; Fitsum Reda; Francesco Ferroni; Gergely Klár; Grace Lam; Greg Heinrich; Hanzi Mao; Hao Wang; Haoxiang Wang; Heng Wang; Huan Ling; Jack Huang; Jacob Huffman; Jason Lu; Jay Zhangjie Wu; Jenna Diamond; Jiahui Huang; Jiaojiao Fan; Jiashu Xu; Jibin Varghese; Jing Zhang; Jingyi Jin; Jinwei Gu; Junjie Bai; Kaichun Mo; Ke Chen; Langechuan Liu; Laura Leal-Taixe; Liang Feng; Lin Yen-Chen; Lindsey Pavao; Lyne Tchapmi; Maciej Bala; Marco Pavone; Michele Fenzi; Mike Ranzinger; Ming-Yu Liu; Morteza Ramezanali; NVIDIA; Niket Agarwal; Pavlo Molchanov; Peter Karkus; Pinyi Li; Pooya Jannaty; Prithvijit Chattopadhyay; Przemek Tredak; Qianli Ma; Qingqing Zhao; Qinsheng Zhang; Ran Tian; Sanja Fidler; Sarah Tariq; Seung Wook Kim; Seungjun Nah; Shida Shen; Shitao Tang; Shiyi Lan; Siddharth Gururani; Songwei Ge; Sriharsha Niverty; Stella Shi; Tianjun Xiao; Tiffany Cai; Tilman Wekel; Ting-Chun Wang; Tong Che; Vasanth Rao Naik Sabavat; Wei Yang; Wei-Cheng Tseng; Wenhao Ding; Wenjie Luo; Wenyuan Zhang; Xian Liu; Xiaodong Yang; Xiaohui Zeng; Xiaowei Ren; Xinshuo Weng; Xinyue Wei; Yan Wang; Yifan Ding; Yin Cui; Yogesh Balaji; Yongxin Chen; Yu Zeng; Yulong Cao; Yunfei Shi; Yunhao Ge; Yunxiang Mao; Yurong You; Yuxiao Chen; Yuxuan Zhang; Zeeshan Patel; Zhaoshuo Li; Zhenghao Peng; Zhijian Liu,2511.00088v2: Alpamayo-R1: Bridging Reasoning and Action Prediction for Generalizable Autonomous Driving in the Long Tail | 2501.03575v3: Cosmos World Foundation Model Platform for Physical AI,,,,,,,48508915.0,,14.0,1118.0,,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Tsung-Yi%20Lin%22,NVIDIA
Ming-Yu Liu,2,:; Alice Luo; Anqi Li; Arsalan Mousavian; Arslan Ali; Artur Zolkowski; Bartosz Stefaniak; Boris Ivanovic; Boyi Li; Chen-Hsuan Lin; Daniel Dworakowski; David Page; Despoina Paschalidou; Dieter Fox; Dongran Liu; Ed Schmerling; Eric Yang; Erik Barker; Ethan He; Fangyin Wei; Fitsum Reda; Francesco Ferroni; Gergely Klár; Grace Lam; Greg Heinrich; Hanzi Mao; Hao Wang; Haoxiang Wang; Heng Wang; Huan Ling; Jack Huang; Jacob Huffman; Jason Lu; Jay Zhangjie Wu; Jenna Diamond; Jiahui Huang; Jiaojiao Fan; Jiashu Xu; Jibin Varghese; Jing Zhang; Jingyi Jin; Jinwei Gu; Junjie Bai; Kaichun Mo; Ke Chen; Langechuan Liu; Laura Leal-Taixe; Liang Feng; Lin Yen-Chen; Lindsey Pavao; Lyne Tchapmi; Maciej Bala; Marco Pavone; Michele Fenzi; Mike Ranzinger; Morteza Ramezanali; NVIDIA; Niket Agarwal; Pavlo Molchanov; Peter Karkus; Pinyi Li; Pooya Jannaty; Prithvijit Chattopadhyay; Przemek Tredak; Qianli Ma; Qingqing Zhao; Qinsheng Zhang; Ran Tian; Sanja Fidler; Sarah Tariq; Seung Wook Kim; Seungjun Nah; Shida Shen; Shitao Tang; Shiyi Lan; Siddharth Gururani; Songwei Ge; Sriharsha Niverty; Stella Shi; Tianjun Xiao; Tiffany Cai; Tilman Wekel; Ting-Chun Wang; Tong Che; Tsung-Yi Lin; Vasanth Rao Naik Sabavat; Wei Yang; Wei-Cheng Tseng; Wenhao Ding; Wenjie Luo; Wenyuan Zhang; Xian Liu; Xiaodong Yang; Xiaohui Zeng; Xiaowei Ren; Xinshuo Weng; Xinyue Wei; Yan Wang; Yifan Ding; Yin Cui; Yogesh Balaji; Yongxin Chen; Yu Zeng; Yulong Cao; Yunfei Shi; Yunhao Ge; Yunxiang Mao; Yurong You; Yuxiao Chen; Yuxuan Zhang; Zeeshan Patel; Zhaoshuo Li; Zhenghao Peng; Zhijian Liu,2511.00088v2: Alpamayo-R1: Bridging Reasoning and Action Prediction for Generalizable Autonomous Driving in the Long Tail | 2501.03575v3: Cosmos World Foundation Model Platform for Physical AI,,,,,,,1932350.0,,12.0,814.0,,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Ming-Yu%20Liu%22,NVIDIA
Lindsey Pavao,2,:; Alice Luo; Anqi Li; Arsalan Mousavian; Arslan Ali; Artur Zolkowski; Bartosz Stefaniak; Boris Ivanovic; Boyi Li; Chen-Hsuan Lin; Daniel Dworakowski; David Page; Despoina Paschalidou; Dieter Fox; Dongran Liu; Ed Schmerling; Eric Yang; Erik Barker; Ethan He; Fangyin Wei; Fitsum Reda; Francesco Ferroni; Gergely Klár; Grace Lam; Greg Heinrich; Hanzi Mao; Hao Wang; Haoxiang Wang; Heng Wang; Huan Ling; Jack Huang; Jacob Huffman; Jason Lu; Jay Zhangjie Wu; Jenna Diamond; Jiahui Huang; Jiaojiao Fan; Jiashu Xu; Jibin Varghese; Jing Zhang; Jingyi Jin; Jinwei Gu; Junjie Bai; Kaichun Mo; Ke Chen; Langechuan Liu; Laura Leal-Taixe; Liang Feng; Lin Yen-Chen; Lyne Tchapmi; Maciej Bala; Marco Pavone; Michele Fenzi; Mike Ranzinger; Ming-Yu Liu; Morteza Ramezanali; NVIDIA; Niket Agarwal; Pavlo Molchanov; Peter Karkus; Pinyi Li; Pooya Jannaty; Prithvijit Chattopadhyay; Przemek Tredak; Qianli Ma; Qingqing Zhao; Qinsheng Zhang; Ran Tian; Sanja Fidler; Sarah Tariq; Seung Wook Kim; Seungjun Nah; Shida Shen; Shitao Tang; Shiyi Lan; Siddharth Gururani; Songwei Ge; Sriharsha Niverty; Stella Shi; Tianjun Xiao; Tiffany Cai; Tilman Wekel; Ting-Chun Wang; Tong Che; Tsung-Yi Lin; Vasanth Rao Naik Sabavat; Wei Yang; Wei-Cheng Tseng; Wenhao Ding; Wenjie Luo; Wenyuan Zhang; Xian Liu; Xiaodong Yang; Xiaohui Zeng; Xiaowei Ren; Xinshuo Weng; Xinyue Wei; Yan Wang; Yifan Ding; Yin Cui; Yogesh Balaji; Yongxin Chen; Yu Zeng; Yulong Cao; Yunfei Shi; Yunhao Ge; Yunxiang Mao; Yurong You; Yuxiao Chen; Yuxuan Zhang; Zeeshan Patel; Zhaoshuo Li; Zhenghao Peng; Zhijian Liu,2511.00088v2: Alpamayo-R1: Bridging Reasoning and Action Prediction for Generalizable Autonomous Driving in the Long Tail | 2501.03575v3: Cosmos World Foundation Model Platform for Physical AI,,,,,,,2338890844.0,,5.0,1054.0,,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Lindsey%20Pavao%22,NVIDIA
Ed Schmerling,2,:; Alice Luo; Anqi Li; Arsalan Mousavian; Arslan Ali; Artur Zolkowski; Bartosz Stefaniak; Boris Ivanovic; Boyi Li; Chen-Hsuan Lin; Daniel Dworakowski; David Page; Despoina Paschalidou; Dieter Fox; Dongran Liu; Eric Yang; Erik Barker; Ethan He; Fangyin Wei; Fitsum Reda; Francesco Ferroni; Gergely Klár; Grace Lam; Greg Heinrich; Hanzi Mao; Hao Wang; Haoxiang Wang; Heng Wang; Huan Ling; Jack Huang; Jacob Huffman; Jason Lu; Jay Zhangjie Wu; Jenna Diamond; Jiahui Huang; Jiaojiao Fan; Jiashu Xu; Jibin Varghese; Jing Zhang; Jingyi Jin; Jinwei Gu; Junjie Bai; Kaichun Mo; Ke Chen; Langechuan Liu; Laura Leal-Taixe; Liang Feng; Lin Yen-Chen; Lindsey Pavao; Lyne Tchapmi; Maciej Bala; Marco Pavone; Michele Fenzi; Mike Ranzinger; Ming-Yu Liu; Morteza Ramezanali; NVIDIA; Niket Agarwal; Pavlo Molchanov; Peter Karkus; Pinyi Li; Pooya Jannaty; Prithvijit Chattopadhyay; Przemek Tredak; Qianli Ma; Qingqing Zhao; Qinsheng Zhang; Ran Tian; Sanja Fidler; Sarah Tariq; Seung Wook Kim; Seungjun Nah; Shida Shen; Shitao Tang; Shiyi Lan; Siddharth Gururani; Songwei Ge; Sriharsha Niverty; Stella Shi; Tianjun Xiao; Tiffany Cai; Tilman Wekel; Ting-Chun Wang; Tong Che; Tsung-Yi Lin; Vasanth Rao Naik Sabavat; Wei Yang; Wei-Cheng Tseng; Wenhao Ding; Wenjie Luo; Wenyuan Zhang; Xian Liu; Xiaodong Yang; Xiaohui Zeng; Xiaowei Ren; Xinshuo Weng; Xinyue Wei; Yan Wang; Yifan Ding; Yin Cui; Yogesh Balaji; Yongxin Chen; Yu Zeng; Yulong Cao; Yunfei Shi; Yunhao Ge; Yunxiang Mao; Yurong You; Yuxiao Chen; Yuxuan Zhang; Zeeshan Patel; Zhaoshuo Li; Zhenghao Peng; Zhijian Liu,2511.00088v2: Alpamayo-R1: Bridging Reasoning and Action Prediction for Generalizable Autonomous Driving in the Long Tail | 2501.03575v3: Cosmos World Foundation Model Platform for Physical AI,https://github.com/schmrlng,,,,,,1868195.0,,25.0,2755.0,,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Ed%20Schmerling%22,NVIDIA
Xiaohui Zeng,2,:; Alice Luo; Anqi Li; Arsalan Mousavian; Arslan Ali; Artur Zolkowski; Bartosz Stefaniak; Boris Ivanovic; Boyi Li; Chen-Hsuan Lin; Daniel Dworakowski; David Page; Despoina Paschalidou; Dieter Fox; Dongran Liu; Ed Schmerling; Eric Yang; Erik Barker; Ethan He; Fangyin Wei; Fitsum Reda; Francesco Ferroni; Gergely Klár; Grace Lam; Greg Heinrich; Hanzi Mao; Hao Wang; Haoxiang Wang; Heng Wang; Huan Ling; Jack Huang; Jacob Huffman; Jason Lu; Jay Zhangjie Wu; Jenna Diamond; Jiahui Huang; Jiaojiao Fan; Jiashu Xu; Jibin Varghese; Jing Zhang; Jingyi Jin; Jinwei Gu; Junjie Bai; Kaichun Mo; Ke Chen; Langechuan Liu; Laura Leal-Taixe; Liang Feng; Lin Yen-Chen; Lindsey Pavao; Lyne Tchapmi; Maciej Bala; Marco Pavone; Michele Fenzi; Mike Ranzinger; Ming-Yu Liu; Morteza Ramezanali; NVIDIA; Niket Agarwal; Pavlo Molchanov; Peter Karkus; Pinyi Li; Pooya Jannaty; Prithvijit Chattopadhyay; Przemek Tredak; Qianli Ma; Qingqing Zhao; Qinsheng Zhang; Ran Tian; Sanja Fidler; Sarah Tariq; Seung Wook Kim; Seungjun Nah; Shida Shen; Shitao Tang; Shiyi Lan; Siddharth Gururani; Songwei Ge; Sriharsha Niverty; Stella Shi; Tianjun Xiao; Tiffany Cai; Tilman Wekel; Ting-Chun Wang; Tong Che; Tsung-Yi Lin; Vasanth Rao Naik Sabavat; Wei Yang; Wei-Cheng Tseng; Wenhao Ding; Wenjie Luo; Wenyuan Zhang; Xian Liu; Xiaodong Yang; Xiaowei Ren; Xinshuo Weng; Xinyue Wei; Yan Wang; Yifan Ding; Yin Cui; Yogesh Balaji; Yongxin Chen; Yu Zeng; Yulong Cao; Yunfei Shi; Yunhao Ge; Yunxiang Mao; Yurong You; Yuxiao Chen; Yuxuan Zhang; Zeeshan Patel; Zhaoshuo Li; Zhenghao Peng; Zhijian Liu,2511.00088v2: Alpamayo-R1: Bridging Reasoning and Action Prediction for Generalizable Autonomous Driving in the Long Tail | 2501.03575v3: Cosmos World Foundation Model Platform for Physical AI,https://github.com/xiaohuix,,,,,,2111551067.0,,9.0,361.0,,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Xiaohui%20Zeng%22,NVIDIA
Dieter Fox,2,":; Ajay Mandlekar; Alice Luo; Anqi Li; Ao Zhang; Arsalan Mousavian; Arslan Ali; Artur Zolkowski; Avnish Narayan; Bartosz Stefaniak; Chen-Hsuan Lin; Daniel Dworakowski; David Page; Despoina Paschalidou; Ed Schmerling; Edith Llontop; Erik Barker; Ethan He; Fangyin Wei; Fengyuan Hu; Fernando Castañeda; Fitsum Reda; Francesco Ferroni; Gergely Klár; Grace Lam; Guanzhi Wang; Guilin Liu; Hanzi Mao; Hao Wang; Hao Zhang; Haoxiang Wang; Heng Wang; Huan Ling; Jacob Huffman; Jan Kautz; Jay Zhangjie Wu; Jiahui Huang; Jiannan Xiang; Jiaojiao Fan; Jiashu Xu; Jibin Varghese; Jing Wang; Jing Zhang; Jingyi Jin; Jinwei Gu; Joel Jang; Johan Bjorck; Kaichun Mo; Kaushil Kundalia; Kevin Lin; Laura Leal-Taixe; Lawrence Lao; Lin Yen-Chen; Lindsey Pavao; Linxi ""Jim"" Fan; Loic Magne; Lyne Tchapmi; Maciej Bala; Michele Fenzi; Ming-Yu Liu; Morteza Ramezanali; NVIDIA; Niket Agarwal; Nikita Cherniadev; Pooya Jannaty; Prithvijit Chattopadhyay; Przemek Tredak; Qi Wang; Qianli Ma; Qingqing Zhao; Qinsheng Zhang; Ruijie Zheng; Runyu Ding; Sanja Fidler; Scott Reed; Seonghyeon Ye; Seung Wook Kim; Seungjun Nah; Shitao Tang; Shiyi Lan; Siddharth Gururani; Songwei Ge; Soroush Nasiriany; Spencer Huang; Sriharsha Niverty; Stella Shi; Tiffany Cai; Ting-Chun Wang; Tsung-Yi Lin; Vasanth Rao Naik Sabavat; Wei Yang; Wei-Cheng Tseng; Xian Liu; Xiaohui Zeng; Xiaowei Ren; Xingye Da; Xinyue Wei; Yifan Ding; Yin Cui; Yinzhen Xu; Yizhou Zhao; Yogesh Balaji; Yongxin Chen; You Liang Tan; Yu Fang; Yu Zeng; Yuke Zhu; Yunhao Ge; Yuqi Xie; Yuxuan Zhang; Zeeshan Patel; Zhaoshuo Li; Zhenjia Xu; Zhenyu Jiang; Zhiding Yu; Zhiqi Li; Zongyu Lin; Zu Wang",2503.14734v2: GR00T N1: An Open Foundation Model for Generalist Humanoid Robots | 2501.03575v3: Cosmos World Foundation Model Platform for Physical AI,https://github.com/foxgh,,,,,,2255760131.0,,2.0,24.0,,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Dieter%20Fox%22,NVIDIA; VLA
Yan Wang,1,:; Boris Ivanovic; Boyi Li; Dongran Liu; Ed Schmerling; Eric Yang; Greg Heinrich; Jack Huang; Jason Lu; Jenna Diamond; Junjie Bai; Ke Chen; Langechuan Liu; Liang Feng; Lindsey Pavao; Marco Pavone; Mike Ranzinger; Ming-Yu Liu; NVIDIA; Pavlo Molchanov; Peter Karkus; Pinyi Li; Ran Tian; Sarah Tariq; Shida Shen; Tianjun Xiao; Tilman Wekel; Tong Che; Tsung-Yi Lin; Wenhao Ding; Wenjie Luo; Wenyuan Zhang; Xiaodong Yang; Xiaohui Zeng; Xinshuo Weng; Yifan Ding; Yulong Cao; Yunfei Shi; Yunxiang Mao; Yurong You; Yuxiao Chen; Zhenghao Peng; Zhijian Liu,2511.00088v2: Alpamayo-R1: Bridging Reasoning and Action Prediction for Generalizable Autonomous Driving in the Long Tail,https://github.com/YanWang2014,,,,,,2152545921.0,,3.0,28.0,,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Yan%20Wang%22,NVIDIA
